incident_id,threat_id,asset_id,employee_id,detection_time,status,time_to_resolve_hours,data_breached_gb,financial_impact_k
80,1,39,11,2021-08-31 11:13:52.560393,Resolved,5,14.91,369.42
81,1,5,14,2021-01-27 10:27:04.560393,Investigating,8,0.0,10.19
82,2,30,2,2021-09-01 07:45:47.560393,Investigating,34,13.77,330.22
83,1,42,6,2023-06-11 14:02:39.560393,Resolved,65,0.0,8.97
84,1,4,12,2024-03-17 06:45:59.560393,Resolved,54,0.0,9.86
85,1,48,6,2024-01-15 01:55:40.560393,Resolved,53,7.66,174.75
86,1,50,3,2023-08-29 21:34:48.560393,Resolved,35,19.11,631.08
87,2,15,10,2020-08-10 05:29:19.560393,Resolved,47,0.0,37.07
88,1,42,9,2021-06-17 06:55:55.560393,Closed,30,0.0,9.6
89,5,11,4,2024-06-29 15:59:39.560393,Closed,139,0.0,42.25
90,1,36,8,2021-01-29 13:17:34.560393,Resolved,23,0.0,13.26
91,3,40,8,2023-05-13 06:12:55.560393,Closed,18,35.65,845.45
92,1,12,4,2023-05-17 17:28:41.560393,Resolved,31,2.7,98.53
93,2,37,1,2024-09-30 17:23:49.560393,Resolved,94,0.0,53.92
94,2,12,10,2023-07-10 16:24:27.560393,Closed,83,0.0,37.23
95,1,43,5,2021-11-24 10:20:49.560393,Closed,36,5.81,87.21
96,5,4,9,2020-08-14 13:40:12.560393,Resolved,275,19.98,326.17
97,1,43,10,2023-07-09 13:59:00.560393,Resolved,19,4.36,165.51
98,1,45,15,2022-06-03 08:47:48.560393,Closed,33,0.0,22.78
99,2,39,4,2020-10-16 11:24:46.560393,Closed,102,0.0,27.83
100,1,9,14,2023-11-29 09:03:49.560393,Resolved,91,0.0,12.22
101,2,49,11,2021-04-12 17:22:01.560393,Investigating,34,15.8,260.86
102,1,33,4,2024-10-23 02:45:09.560393,Resolved,323,0.0,8.85
103,4,21,7,2021-10-11 14:29:29.560393,Resolved,49,39.04,634.0
104,3,32,8,2024-07-30 12:23:50.560393,Resolved,37,103.09,2426.31
105,3,45,3,2021-09-14 04:51:50.560393,Resolved,29,116.38,2672.05
106,1,41,6,2022-04-30 11:03:26.560393,Resolved,20,0.0,20.34
107,1,50,9,2022-02-25 03:03:12.560393,Resolved,80,0.0,15.36
108,2,36,7,2024-05-29 16:00:41.560393,Investigating,23,36.12,1675.3
109,1,41,8,2023-11-11 03:27:23.560393,Resolved,10,0.0,10.64
110,5,17,3,2025-04-18 19:22:39.560393,Resolved,39,64.19,1878.57
111,5,41,12,2021-01-28 18:53:42.560393,Resolved,222,0.0,48.24
112,1,41,12,2025-06-25 00:37:26.560393,Resolved,53,0.0,9.16
113,2,18,8,2025-02-11 13:58:52.560393,Resolved,56,0.0,19.34
114,4,11,9,2023-02-19 05:17:41.560393,Resolved,39,0.0,12.94
115,2,42,15,2023-12-31 05:59:59.560393,Closed,23,22.91,229.11
116,1,7,5,2025-02-04 21:02:33.560393,Closed,68,0.0,16.46
117,1,28,6,2025-05-23 02:40:27.560393,Resolved,27,0.0,12.01
118,5,39,14,2024-08-20 05:22:32.560393,Resolved,31,0.0,22.34
119,3,20,10,2024-08-03 12:04:15.560393,Resolved,35,13.32,957.45
120,1,27,4,2024-10-20 07:36:29.560393,Resolved,7,0.0,7.28
121,5,39,7,2024-01-22 01:47:20.560393,Resolved,103,95.76,1489.75
122,2,24,4,2021-06-23 04:06:18.560393,Resolved,54,9.06,347.14
123,4,25,13,2024-11-24 07:59:30.560393,Resolved,281,2.18,100.7
124,5,36,6,2022-01-05 00:37:56.560393,Investigating,8918,21.85,493.74
125,2,3,1,2021-12-04 10:21:59.560393,Resolved,70,23.02,359.73
126,3,32,14,2025-03-16 01:43:50.560393,Resolved,26,99.97,3292.06
127,1,11,6,2022-06-23 11:39:00.560393,Resolved,28,0.0,45.96
128,5,42,11,2021-08-17 13:47:12.560393,Resolved,395,0.0,16.99
129,1,5,4,2023-04-11 02:28:40.560393,Resolved,59,0.0,12.22
130,5,18,12,2024-10-11 14:50:50.560393,Closed,94,58.44,1045.95
131,2,22,9,2023-03-10 16:46:42.560393,Resolved,93,25.11,513.41
132,1,42,9,2021-02-17 06:39:52.560393,Investigating,12,3.94,35.6
133,2,33,10,2023-12-25 18:33:57.560393,Closed,61,0.0,40.57
134,1,30,12,2022-04-25 01:32:15.560393,Resolved,23,0.0,23.85
135,4,19,3,2023-07-30 11:44:28.560393,Resolved,3,39.31,502.43
136,1,22,5,2022-04-01 16:23:57.560393,Resolved,27,0.0,10.96
137,2,26,6,2024-03-12 22:55:41.560393,Resolved,28,31.74,338.43
138,2,45,5,2021-01-17 19:46:43.560393,Resolved,31,0.0,28.09
139,1,43,10,2021-09-02 08:21:59.560393,Resolved,100,21.5,391.04
140,1,6,1,2024-05-07 04:23:50.560393,Closed,11,22.17,830.69
141,1,38,8,2024-02-02 22:07:43.560393,Resolved,54,0.0,13.65
142,1,40,8,2023-03-03 16:32:25.560393,Closed,86,0.0,25.68
143,1,43,12,2022-06-14 20:31:40.560393,Resolved,22,2.28,57.83
144,5,6,8,2025-01-13 19:00:13.560393,Resolved,62,44.7,1558.31
145,1,43,1,2020-08-16 17:25:52.560393,Resolved,25,10.72,192.37
146,1,32,1,2024-10-16 15:00:20.560393,Resolved,44,0.0,10.57
147,2,44,3,2025-03-12 04:02:23.560393,Closed,29,0.0,19.12
148,1,20,10,2024-04-06 09:59:27.560393,Resolved,20,0.0,13.74
149,2,44,1,2025-05-26 09:00:27.560393,Resolved,86,8.59,129.22
150,5,3,8,2024-11-12 20:17:30.560393,Resolved,8,100.54,1977.04
151,5,9,10,2022-01-05 17:29:31.560393,Investigating,200,0.0,113.75
152,1,36,4,2023-11-20 17:47:11.560393,Resolved,43,0.0,15.06
153,2,12,3,2023-01-14 07:48:12.560393,Resolved,71,0.0,86.15
154,2,44,15,2022-12-29 04:37:20.560393,Resolved,118,0.0,30.95
155,2,22,9,2022-10-18 18:25:56.560393,Resolved,307,72.96,888.19
156,1,23,7,2021-10-01 14:26:17.560393,Resolved,28,0.0,20.91
157,2,9,8,2021-07-30 13:32:56.560393,Resolved,108,0.0,21.29
158,1,34,11,2020-08-24 11:32:48.560393,Resolved,134,0.0,18.63
159,4,47,15,2023-01-18 07:50:33.560393,Closed,16,0.0,63.09
160,1,23,1,2022-06-30 12:51:12.560393,Resolved,53,9.11,325.9
161,2,1,9,2020-09-20 23:32:24.560393,Resolved,23,3.26,43.96
162,4,28,1,2021-09-11 11:28:01.560393,Resolved,2,0.0,43.76
163,2,9,8,2025-05-20 17:19:48.560393,Resolved,4,0.0,19.14
164,1,35,5,2023-08-09 14:02:57.560393,Resolved,81,0.0,15.68
165,3,3,9,2021-08-07 17:44:17.560393,Resolved,38,58.17,1583.31
166,1,28,9,2023-10-05 23:36:18.560393,Resolved,40,0.0,7.71
167,2,13,8,2022-08-21 18:43:34.560393,Resolved,48,8.94,255.16
168,5,14,6,2021-09-12 22:59:17.560393,Resolved,49,8.42,194.02
169,4,3,12,2024-01-04 09:18:13.560393,Resolved,305,106.68,1768.12
170,1,2,11,2022-01-05 13:52:14.560393,Resolved,18,13.21,299.68
171,2,7,9,2023-01-31 10:59:38.560393,Resolved,30,0.0,19.28
172,1,4,10,2021-07-23 05:09:33.560393,Resolved,12,0.0,14.48
173,1,30,12,2024-06-20 09:31:02.560393,Resolved,22,0.0,14.3
174,1,38,1,2024-07-09 11:16:09.560393,Resolved,20,0.0,34.32
175,2,3,14,2021-02-11 20:21:48.560393,Resolved,400,0.0,86.2
176,2,8,5,2022-02-21 16:41:07.560393,Resolved,113,0.0,23.85
177,1,26,11,2023-12-03 05:15:49.560393,Resolved,19,13.85,255.79
178,3,11,11,2020-12-13 17:30:14.560393,Resolved,65,0.0,97.15
179,5,42,9,2022-10-09 20:05:52.560393,Resolved,163,22.26,314.04
180,1,22,6,2023-12-08 17:16:55.560393,Resolved,24,0.0,9.11
181,1,38,9,2023-06-22 16:25:47.560393,Resolved,11,0.0,14.37
182,3,13,6,2021-06-28 18:58:18.560393,Resolved,163,43.18,3185.79
183,2,25,8,2024-10-30 01:40:30.560393,Resolved,18,0.0,40.46
184,2,32,8,2022-11-03 19:58:46.560393,Resolved,263,14.02,230.32
185,1,27,1,2022-05-06 09:31:32.560393,Resolved,23,0.0,17.05
186,5,25,12,2023-03-11 20:19:27.560393,Closed,155,4.99,276.69
187,3,40,3,2024-03-07 06:55:47.560393,Resolved,69,26.31,434.05
188,1,8,3,2024-07-01 15:46:59.560393,Resolved,99,11.12,166.29
189,1,37,11,2020-09-25 20:59:45.560393,Resolved,58,0.0,10.02
190,1,50,6,2025-04-05 08:31:15.560393,Resolved,53,0.0,6.12
191,1,28,3,2023-02-16 15:51:08.560393,Resolved,18,0.46,15.3
192,1,46,15,2020-12-08 17:47:13.560393,Resolved,124,0.0,14.04
193,2,7,10,2021-07-17 08:33:01.560393,Resolved,62,0.0,108.71
194,2,40,6,2020-12-03 16:41:05.560393,Investigating,14,0.0,13.37
195,3,35,6,2021-11-29 02:09:54.560393,Resolved,30,50.68,1448.45
196,1,40,12,2023-11-11 12:18:44.560393,Resolved,14,22.34,212.58
197,1,43,13,2023-03-27 23:09:00.560393,Closed,52,0.0,19.18
198,3,18,1,2021-10-11 10:26:51.560393,Resolved,1148,520.54,14703.16
199,1,45,5,2022-05-20 06:01:28.560393,Resolved,83,0.0,15.17
200,1,45,15,2020-12-08 13:26:15.560393,Resolved,21,10.96,391.95
201,5,43,9,2023-10-24 07:25:08.560393,Resolved,32,0.0,22.28
202,2,26,9,2025-03-01 19:59:00.560393,Resolved,17,3.78,153.35
203,2,40,1,2024-12-20 11:22:30.560393,Resolved,96,0.0,40.68
204,2,41,11,2022-07-24 20:34:49.560393,Resolved,93,0.0,28.38
205,1,48,1,2024-07-06 21:26:44.560393,Resolved,46,1.3,59.18
206,5,3,8,2021-01-15 10:35:15.560393,Resolved,269,14.06,357.46
207,1,8,6,2021-08-05 10:16:01.560393,Resolved,16,14.07,204.81
208,1,32,1,2023-02-01 17:21:16.560393,Resolved,37,7.25,224.21
209,1,30,2,2022-03-15 12:56:59.560393,Resolved,27,6.48,244.76
210,1,25,6,2024-04-29 15:44:55.560393,Closed,28,3.66,77.81
211,1,8,2,2023-09-18 14:26:22.560393,Resolved,40,0.0,25.09
212,1,21,10,2025-04-02 20:33:30.560393,Resolved,45,0.0,14.9
213,1,13,6,2025-02-20 18:53:20.560393,Resolved,25,0.0,15.69
214,4,8,5,2024-06-18 02:10:40.560393,Resolved,391,15.98,372.79
215,2,10,12,2023-12-29 04:13:03.560393,Closed,25,0.0,14.73
216,3,45,6,2023-04-04 14:00:26.560393,Resolved,13,43.66,660.85
217,4,17,8,2025-05-29 04:58:43.560393,Resolved,28,19.22,378.26
218,1,8,1,2023-03-30 12:22:39.560393,Closed,28,40.18,1032.21
219,1,33,2,2025-07-04 13:41:20.560393,Resolved,12,0.0,23.21
220,1,24,3,2023-10-16 18:13:29.560393,Resolved,36,0.0,6.44
221,2,4,6,2020-08-24 21:08:18.560393,Resolved,85,31.26,630.16
222,3,20,15,2021-11-30 02:03:53.560393,Resolved,74,38.58,813.56
223,1,5,8,2025-01-16 11:20:46.560393,Closed,24,0.82,21.27
224,1,14,8,2024-05-07 08:38:46.560393,Resolved,28,0.0,22.98
225,4,6,5,2025-01-22 07:58:15.560393,Resolved,9,64.48,1319.67
226,5,40,6,2023-02-05 18:07:54.560393,Closed,73,0.0,26.7
227,2,8,14,2020-11-08 20:35:02.560393,Resolved,118,0.0,38.06
228,1,17,6,2023-02-05 10:06:39.560393,Resolved,70,2.7,50.13
229,1,7,4,2025-04-27 16:23:11.560393,Investigating,24,8.22,169.36
230,1,47,9,2024-08-31 18:44:33.560393,Resolved,48,2.28,98.07
231,1,11,7,2021-01-06 03:53:40.560393,Investigating,14,0.0,10.43
232,5,15,9,2024-06-28 00:48:58.560393,Resolved,2377,0.0,85.01
233,1,44,12,2023-08-31 08:40:37.560393,Resolved,15,0.0,12.17
234,3,17,13,2022-10-18 05:05:14.560393,Resolved,73,35.62,674.07
235,1,43,8,2025-05-27 02:08:24.560393,Resolved,25,24.52,770.38
236,2,32,15,2021-03-25 02:56:36.560393,Resolved,30,71.4,3006.25
237,1,25,6,2023-09-20 23:39:00.560393,Closed,39,0.0,21.89
238,2,28,14,2020-11-27 16:13:25.560393,Resolved,18,0.0,55.98
239,4,23,6,2021-03-01 20:47:45.560393,Resolved,138,21.79,570.7
240,1,33,9,2020-09-07 16:29:42.560393,Resolved,31,0.0,8.81
241,5,23,3,2025-07-21 23:36:08.560393,Resolved,315,35.97,833.36
242,5,23,10,2022-09-15 17:05:42.560393,Resolved,41,16.54,316.08
243,1,23,9,2022-07-20 10:01:25.560393,Resolved,67,0.0,6.26
244,1,24,1,2021-03-13 17:00:02.560393,Resolved,99,0.0,28.61
245,1,9,7,2025-03-09 21:48:06.560393,Resolved,11,0.0,12.7
246,1,48,6,2023-04-15 01:57:07.560393,Closed,27,0.0,16.75
247,2,8,11,2020-10-30 11:19:53.560393,Closed,355,0.0,13.6
248,4,44,5,2022-03-20 18:17:16.560393,Closed,99,0.0,50.12
249,3,7,10,2024-06-08 11:08:30.560393,Closed,305,1.72,100.6
250,1,19,15,2021-10-09 13:35:07.560393,Resolved,90,0.0,12.66
251,2,24,5,2024-03-14 08:21:26.560393,Resolved,114,0.0,37.02
252,1,19,15,2024-12-21 02:42:35.560393,Resolved,39,0.0,16.37
253,1,30,8,2024-01-05 12:22:42.560393,Resolved,22,1.2,33.28
254,1,37,5,2022-02-17 10:18:15.560393,Resolved,66,4.31,97.88
255,4,39,5,2022-04-09 10:44:37.560393,Resolved,41,0.0,118.07
256,5,13,1,2022-01-31 01:50:41.560393,Resolved,9,8.56,133.77
257,2,50,11,2023-05-13 18:02:34.560393,Resolved,1,0.0,71.16
258,1,32,5,2022-09-15 10:38:41.560393,Resolved,31,0.0,12.33
259,3,36,13,2023-05-13 03:47:57.560393,Resolved,153,42.23,707.81
260,4,45,1,2024-10-12 14:05:29.560393,Closed,1198,46.18,783.84
261,3,31,8,2024-09-10 12:01:09.560393,Investigating,186,85.05,1937.26
262,1,50,2,2024-09-22 08:11:10.560393,Resolved,12,10.41,247.07
263,2,1,1,2024-01-04 14:47:24.560393,Investigating,19,6.73,70.31
264,1,13,15,2024-10-14 00:18:25.560393,Resolved,16,0.0,9.69
265,1,24,13,2020-12-17 03:37:06.560393,Resolved,19,29.86,670.2
266,1,31,10,2023-08-13 06:42:07.560393,Closed,24,11.55,443.7
267,1,45,6,2025-03-02 10:59:47.560393,Closed,38,19.95,319.7
268,1,7,9,2024-11-16 03:44:45.560393,Resolved,39,6.03,166.87
269,2,50,1,2021-07-03 01:05:19.560393,Resolved,104,0.0,22.05
270,1,17,12,2024-05-05 14:08:25.560393,Resolved,19,0.0,12.27
271,1,28,9,2024-02-25 17:08:53.560393,Resolved,89,0.0,8.44
272,2,34,13,2024-03-26 19:37:10.560393,Closed,193,15.63,589.08
273,2,50,9,2022-01-02 18:19:02.560393,Resolved,108,0.0,14.85
274,1,21,10,2023-03-25 18:07:09.560393,Closed,11,0.0,18.54
275,1,41,1,2023-08-03 18:55:50.560393,Closed,395,0.0,6.49
276,2,31,2,2025-01-07 04:54:08.560393,Resolved,53,0.0,17.05
277,5,11,8,2024-10-17 03:29:06.560393,Resolved,155,0.0,45.22
278,1,32,9,2024-03-05 10:17:19.560393,Resolved,51,0.0,25.47
279,1,1,15,2024-10-12 22:19:32.560393,Resolved,22,7.47,174.99
280,2,27,8,2023-12-23 14:06:06.560393,Resolved,49,0.0,55.12
281,1,6,9,2021-04-05 09:50:45.560393,Resolved,16,12.64,469.75
282,1,11,1,2024-11-11 12:44:56.560393,Resolved,13,2.12,39.37
283,2,30,14,2023-03-02 11:55:19.560393,Investigating,140,0.0,41.53
284,2,48,5,2025-07-08 00:35:37.560393,Closed,293,0.0,30.28
285,2,20,10,2022-01-30 22:05:18.560393,Resolved,85,63.78,798.52
286,3,30,10,2022-11-12 21:47:54.560393,Resolved,8,0.0,53.33
287,1,45,13,2021-08-29 08:51:07.560393,Resolved,8,0.0,29.1
288,4,19,9,2022-07-08 01:09:41.560393,Closed,21,28.15,373.73
289,2,13,1,2022-08-18 00:26:22.560393,Resolved,163,36.12,1251.61
290,1,47,1,2024-02-16 17:14:19.560393,Resolved,10,0.0,23.2
291,1,27,1,2024-01-16 01:02:15.560393,Resolved,25,0.0,10.45
292,1,38,3,2021-09-25 21:38:59.560393,Resolved,34,0.0,7.7
293,1,18,9,2023-06-03 08:37:28.560393,Closed,11,0.0,21.12
294,1,10,14,2022-04-11 06:34:51.560393,Resolved,16,5.77,158.83
295,1,26,9,2021-09-28 01:17:00.560393,Resolved,74,0.0,10.81
296,1,48,10,2020-10-18 07:26:31.560393,Resolved,4,0.0,10.42
297,1,36,6,2022-01-22 06:35:03.560393,Resolved,50,0.0,14.67
298,5,11,6,2022-08-10 03:19:14.560393,Resolved,49,17.88,1206.56
299,2,21,2,2022-04-04 16:52:29.560393,Closed,80,0.0,24.48
300,1,39,1,2023-11-13 01:45:24.560393,Closed,21,39.68,2362.84
301,1,33,1,2021-06-14 19:12:06.560393,Investigating,15,0.0,23.49
302,2,49,11,2020-12-29 19:01:07.560393,Resolved,85,0.0,23.66
303,1,18,12,2021-08-23 05:34:24.560393,Investigating,21,71.21,1234.44
304,1,50,4,2024-08-05 10:27:18.560393,Resolved,30,14.79,442.09
305,1,21,6,2021-02-03 23:29:38.560393,Resolved,41,38.56,932.99
306,1,15,7,2022-05-09 19:37:42.560393,Resolved,90,0.0,27.78
307,5,8,4,2023-12-07 18:20:17.560393,Resolved,539,30.19,478.72
308,1,42,5,2025-07-11 19:18:41.560393,Resolved,74,11.64,217.7
309,1,25,1,2022-11-11 10:38:07.560393,Closed,71,0.0,13.93
310,5,22,6,2024-10-31 05:20:11.560393,Resolved,37,0.0,40.63
311,2,5,5,2023-11-19 01:20:58.560393,Resolved,46,0.0,25.5
312,1,35,9,2023-07-22 12:40:33.560393,Resolved,32,12.66,202.05
313,5,12,4,2025-06-11 14:07:56.560393,Resolved,205,37.64,449.1
314,1,35,13,2024-12-28 23:06:26.560393,Resolved,21,0.0,26.59
315,3,30,12,2024-11-22 21:49:27.560393,Closed,17,83.3,2941.68
316,2,9,8,2024-12-11 12:00:39.560393,Resolved,210,11.12,492.07
317,2,44,8,2021-06-11 02:38:21.560393,Resolved,19,0.0,34.43
318,2,1,2,2023-06-01 17:53:04.560393,Resolved,6,18.46,366.61
319,1,25,6,2022-11-29 18:58:13.560393,Resolved,14,0.0,6.45
320,1,42,8,2022-08-26 06:58:20.560393,Resolved,19,14.2,1118.25
321,2,14,4,2021-02-05 03:45:55.560393,Resolved,77,0.0,29.87
322,5,11,1,2022-08-28 22:59:09.560393,Resolved,4,7.74,108.91
323,1,17,13,2022-11-27 13:23:33.560393,Resolved,21,0.0,18.05
324,1,41,8,2024-10-30 22:56:57.560393,Resolved,67,0.0,18.45
325,2,47,6,2023-12-17 14:22:39.560393,Investigating,55,0.0,24.91
326,3,1,9,2022-11-16 14:18:56.560393,Closed,175,5.52,171.2
327,1,1,3,2024-01-26 21:47:14.560393,Resolved,21,3.62,99.69
328,1,20,1,2024-11-01 15:46:48.560393,Resolved,12,0.0,21.44
329,4,31,8,2024-04-28 01:23:58.560393,Investigating,17,0.0,32.01
330,2,19,10,2024-10-09 15:59:46.560393,Resolved,198,30.37,1259.6
331,1,46,2,2023-05-22 17:05:59.560393,Resolved,49,0.0,8.26
332,4,10,15,2024-03-09 08:37:05.560393,Resolved,160,0.0,36.48
333,2,42,11,2024-09-20 08:09:25.560393,Resolved,396,47.14,1402.06
334,1,12,1,2022-07-31 04:20:03.560393,Resolved,10,0.0,11.07
335,1,8,8,2022-06-20 08:02:33.560393,Resolved,11,40.0,246.93
336,2,36,12,2021-03-24 03:19:26.560393,Resolved,52,0.0,13.7
337,2,40,8,2022-01-12 20:47:56.560393,Resolved,63,15.67,518.91
338,1,5,6,2023-06-08 07:28:39.560393,Closed,22,0.0,14.08
339,1,40,14,2021-05-17 08:44:52.560393,Resolved,28,0.0,7.93
340,1,50,6,2024-02-04 04:59:16.560393,Closed,12,0.0,17.77
341,1,34,9,2025-06-25 17:58:45.560393,Investigating,24,18.54,535.05
342,3,15,15,2021-09-02 05:09:02.560393,Resolved,22,17.3,618.27
343,1,25,14,2024-11-03 11:54:17.560393,Resolved,124,0.7,43.98
344,1,12,8,2020-12-08 12:23:54.560393,Resolved,100,0.0,13.12
345,2,41,5,2021-09-10 07:54:16.560393,Resolved,53,0.0,36.88
346,1,28,6,2022-06-09 02:29:27.560393,Resolved,32,0.0,14.1
347,2,23,1,2023-05-01 20:55:35.560393,Resolved,68,25.8,805.61
348,1,22,8,2022-04-05 01:15:53.560393,Closed,204,0.0,10.84
349,1,14,3,2025-04-03 11:45:04.560393,Resolved,63,0.0,5.27
350,2,32,1,2024-01-27 03:48:28.560393,Resolved,648,31.41,472.83
351,1,10,8,2022-12-07 09:16:06.560393,Resolved,11,0.0,16.58
352,4,18,10,2021-11-15 18:22:55.560393,Closed,66,158.42,3838.72
353,2,7,3,2023-08-12 13:24:26.560393,Investigating,32,7.04,211.26
354,1,11,4,2025-04-30 17:56:49.560393,Closed,78,0.0,17.43
355,5,23,5,2021-11-24 16:51:01.560393,Resolved,63,48.87,823.58
356,2,23,6,2020-11-09 10:40:58.560393,Closed,149,84.7,1046.2
